Word;Translation;State
"fall back on";"опереться, прибегнуть";0
"fall behind";отставать;0
"fall for";влюбляться;0
"fall in with";"соглашаться с";0
"fasten on";"сосредотачиваться на";0
"feel about";"искать на ощупь";0
"fetch up";оказаться;0
"fiddle with";"вертеть на руках";0
"fight back";отбиваться;0
"fight down";подавлять;0
"figure out";"понять, придумать";0
"fill in";заполнить;0
"filter in";просачиваться;0
"find out";выяснить;0
"finish up";"доедать, допивать";0
"fish out";выуживать;0
"fit in";вписываться;0
"fix up";устраивать;0
"flick through";"просмотреть, пролистать";0
"float around";"носиться в воздухе";0
"flush out";спугнуть;0
"follow out";"приводить в исполнение";0
"follow up";расследовать;0
"fool about";"валять дурака";0
"force back";"отражать натиск";0
"forge ahead";"вырываться вперед";0
"fork out";выкладывать;0
"frown on";"смотреть с неодобрением";0
"fuss over";"трястись над";0
"gasp out";выпаливать;0
"get about";передвигаться;0
"get across";объяснять;0
"get along";ладить;0
"get at";"клонить, намекать";0
"get away";уходить;0
"get away with";"безнаказанно сделать";0
"get by";"обойтись, протянуть";0
"get off";выходить;0
"get on";"быть, делать";0
"get on to";"переходить к";0
"get out of";"избежать, отмазаться";0
"get over";"пережить, принять";0
"get round to";"собираться сделать что-либо";0
"get through";дозвониться;0
"get up";вставать;0
"get up to";заниматься;0
"give in";подчиниться;0
"give off";"издавать, испускать";0
"give up";"отказаться, сдаться";0
"go about";заниматься;0
"go ahead";взять;0
"go back on";"не сдерживать";0
"go for";"быть проданным за";0
"go in for";"принимать участие";0
"go on";продолжаться;0
"go on at";"приставать к";0
"go through with";осуществлять;0
"go with";соответствовать;0
"go without";"оставаться без";0
"grow apart";"отдаляться друг от друга";0
"grow up";вырастать;0
"hang about";слоняться;0
"hang on";подождать;0
"hang up";"вешать трубку";0
"happen on";"натыкаться на";0
"head for";направляться;0
"head off";"выйти, отправиться";0
"hit on";отыскивать;0
"hit out at";набрасываться;0
"hold back";сдерживать;0
"hold on";"оставаться на линии";0
"hold on to";"держаться за";0
"hold out";протягивать;0
"hold over";откладывать;0
"hold up";"задержать, затормозить";0
"hurry up";торопиться;0
"hush up";умалчивать;0
"inquire into";расследовать;0
"iron out";улаживать;0
"jog along";"медленно продвигаться";0
"jump about";суетиться;0
"jump at";ухватиться;0
"keep away from";"держаться подальше от";0
"keep down";"удержать, подавить";0
"keep in";"держать дома";0
"keep off";"избегать, не трогать";0
"keep out";"не впускать";0
"keep up";"успевать за чем-л";0
"knock about";околачиваться;0
"knock off";закругляться;0
"knock out";вырубить;0
"ladle out";"раздавать направо и налево";0
"land up";очутиться;0
"launch into";"пускаться в";0
"lay in";запасать;0
"lay into";нападать;0
"lay off";"уволить, сократить";0
"lay on";устраивать;0
"lay out";"выложить, разложить";0
"lead off";"отходить от";0
"lead on";"водить за нос";0
"leave behind";"оставить, забыть";0
"leave off";"не включать";0
"leave on";"не снимать";0
"leave out";"пропускать, оставлять без внимания";0
"let on";проговариваться;0
"let out";выпускать;0
"let up";"прекратиться, стихнуть";0
"lie about";валяться;0
"lie back";откидываться;0
"lie up";скрываться;0
"live down";заглаживать;0
"live up to";"соответствовать, дотягивать";0
"lock away";"заключать под стражу";0
"log in";"входить в систему";0
"log into";"входить в";0
"log off";"выходить из системы";0
"look after";присматривать;0
"look around";"посмотреть, оглядеть";0
"look down on";"смотреть свысока на";0
"look for";искать;0
"look forward to";"ждать чего-либо с нетерпением";0
"look into";"посмотреть, изучить";0
"look on";наблюдать;0
"look out for";остерегаться;0
"look through";просматривать;0
"look up";"улучшаться, налаживаться";0
"look up to";"уважать, восхищаться";0
"make for";"направляться к";0
"make off";скрываться;0
"make out";целоваться;0
"make up";помириться;0
"make up for";"компенсировать, наверстать";0
"mark down";"снижать ценник";0
"mark off";отмечать;0
"mark out";"размечать, выделять";0
"mark up";"повышать, добавлять стоимость";0
"measure up";оправдывать;0
"mix up";перепутать;0
"mount up";накапливаться;0
"muddle along";"справляться кое-как";0
"muddle through";выкарабкиваться;0
"nod off";задремать;0
"pack off";отправлять;0
"pass away";умереть;0
"pass by";"проходить мимо";0
"pass out";"терять сознание";0
"pass up";"не воспользоваться шансом";0
"patch up";улаживать;0
"pick at";ковырять;0
"pick off";"методично сбивать, отстреливать";0
"pick on";"дразнить, докучать";0
"pick out";"выбрать или выделить из";0
"play down";"не заострять внимание на";0
"play up";барахлить;0
"plug in";включать;0
"polish off";"покончить с";0
"pop in";"заглядывать, заскакивать к кому-нибудь";0
"pop out";выскакивать;0
"pop up";вылезать;0
"pour into";"устремляться в";0
"press ahead";"приступать к делу";0
"press on";продолжать;0
"pull about";трепать;0
"pull up";подтягивать;0
"push in";влезать;0
"push off";убираться;0
"push on";"двигаться вперед";0
"push over";опрокидывать;0
"push up";повышать;0
"put across";объяснять;0
"put by";откладывать;0
"put forth";объявлять;0
"put forward";"выдвигать, переводить вперед";0
"put in for";"подавать заявление на";0
"put on";провести;0
"put out";потушить;0
"put through";подвергнуть;0
"put up with";"принимать, мириться";0
"reach out";потянуться;0
"reflect on";"бросать тень на";0
"root about";рыться;0
"root for";"болеть за";0
"root out";искоренить;0
"round off";завершать;0
"round up";округлять;0
"rule out";"исключать, не рассматривать";0
"run across";"натыкаться на";0
"run down";"сокращать, сбивать";0
"run into";"сталкиваться с";0
"run off";"сбегать, убегать";0
"run out";"истекать, заканчиваться";0
"run over";"переехать машиной";0
"rush through";"делать в спешке";0
"score out";вычеркивать;0
"scrape together";наскрести;0
"screw up";"завалить, просрать";0
"see about";заниматься;0
"see off";провожать;0
"see through";"довести до конца";0
"see to";"заняться, позаботиться";0
"seize up";глохнуть;0
"send for";заказывать;0
"send in";"подавать заявление о";0
"send up";запускать;0
"serve out";раскладывать;0
"set about";"приступить, начать";0
"set back";задерживать;0
"set off";отправляться;0
"set up";учреждать;0
"shoot down";сбивать;0
"shoot in";"стремглав вбегать";0
"shoot out";"стремглав выбегать";0
"shoot up";подскакивать;0
"shop around";прицениваться;0
"shout down";"заглушать криками";0
"show in";"проводить внутрь";0
"show off";"показать всем, похвастаться";0
"show out";"провожать к выходу";0
"show up";прийти;0
"shrug off";"отмахиваться от";0
"shut off";отключать;0
"shut out";"не впускать";0
"shut up";заткнуться;0
"sign away";передавать;0
"sign in";регистрироваться;0
"sign off";заканчивать;0
"sign out";выписываться;0
"sign up";"записаться, зарегистрироваться";0
"skate around";обходить;0
"skate over";игнорировать;0
"sleep around";"трахаться, блудить";0
"sleep in";"просыпать, отсыпаться";0
"slip up";ошибаться;0
"smooth over";"улаживать дела";0
"sound off";"высказаться о";0
"square up";"поквитаться с кем-либо";0
"stamp out";затаптывать;0
"stand by";"поддерживать, быть наготове";0
"stand down";"уступать место";0
"stand for";"обозначать, представлять";0
"stand in for";замещать;0
"stand up for";отстаивать;0
"stand up to";выдерживать;0
"stem from";"происходить от";0
"stick up for";"заступаться за";0
"stir up";"вызвать, возбудить";0
"stop by";заходить;0
"stop up";заделывать;0
"strike out";вычеркивать;0
"take after";"пойти в кого-либо";0
"take down";записать;0
"take in";"понять, вникнуть";0
"take off";взлететь;0
"take on";"соревноваться, столкнуться";0
"take over";"принять обязанности";0
"take to";"пристраститься к";0
"take up";"заняться чем-либо";0
"tear along";нестись;0
"tell off";ругать;0
"tell on";"жаловаться на";0
"think up";придумывать;0
"throw up";блевануть;0
"touch on";затрагивать;0
"touch up";подкрашивать;0
"try on";примерить;0
"tuck away";припрятывать;0
"tuck in";"заправлять, запихивать";0
"tuck up";укрывать;0
"turn down";"отказаться от предложения";0
"turn in";"лечь спать";0
"turn off";выключить;0
"turn on";включить;0
"turn up";"сделать погромче";0
"wait on";обслуживать;0
"walk out on";бросать;0
"wash up";"помыть посуду";0
"wear off";"сойти на нет, выветриться";0
"wear on";тянуться;0
"work out";тренироваться;0
"write off";"списывать, аннулировать";0
"write up";"приводить в порядок";0
apricot;абрикос;0
august;август;0
bus;автобус;0
car;автомобиль;0
lawyer;юрист;0
actor;актёр;0
pineapple;ананас;0
orange;оранжевый;0
april;апрель;0
pharmacy;аптека;0
watermelon;арбуз;0
airport;аэропорт;0
grandmother;бабушка;0
luggage;багаж;0
eggplant;баклажан;0
balcony;балкон;0
banana;банан;0
bank;берег;0
lamb;ягненок;0
battery;батарея;0
run;управлять;0
poor;бедный;0
hip;"таз, поясница";0
without;без;0
squirrel;белка;0
white;белый;0
gasoline;бензин;0
coast;побережье;0
disturb;тревожить;0
concern;"забота, тревожить";0
ticket;"билет, талон";0
pale;бледный;0
note;"заметка, запись";0
dish;"тарелка или миска";0
saucer;блюдце;0
rich;богатый;0
goblet;бокал;0
disease;болезнь;0
pain;боль;0
hospital;госпиталь;0
more;еще;0
big;большой;0
beard;борода;0
fight;бороться;0
shoe;"туфля, ботинок";0
fear;"страх, бояться";0
brother;брат;0
take;воспринимать;0
eyebrow;бровь;0
throw;бросать;0
trousers;брюки;0
letter;письмо;0
paper;"бумага, документ";0
sandwich;сэндвич;0
bottle;бутылка;0
accountant;бухгалтер;0
quickly;быстро;0
be;происходить;0
jam;джем;0
up;подниматься;0
bucket;"ведро, бадья";0
polite;вежливый;0
bicycle;велосипед;0
rope;верёвка;0
believe;полагать;0
probably;вероятно;0
probability;вероятность;0
merry;веселый;0
fun;веселье;0
spring;"источник, проистекать, прыгать";0
lead;вести;0
all;весь;0
wind;ветер;0
ham;ветчина;0
evening;вечер;0
thing;вещь;0
see;посмотреть;0
fork;"развилка, раздваиваться";0
wine;вино;0
grapes;виноград;0
cherry;вишня;0
include;"включать, содержать в себе";0
delicious;восхитительный;0
impact;"воздействие, удар";0
affect;воздействовать;0
together;вместе;0
grandson;внук;0
involve;"вовлекать, увлекать";0
water;поливать;0
return;возвращаться;0
air;"вид, впечатление";0
possibly;возможно;0
opportunity;возможность;0
"railway station";вокзал;0
around;вокруг;0
wolf;волк;0
hair;волос;0
question;"подвергать сомнению";0
eighteen;восемнадцать;0
eight;восемь;0
sunday;воскресенье;0
delightfull;восхитительный;0
admiration;восхищение;0
forward;вперед;0
time;срок;0
like;как;0
always;всегда;0
meeting;митинг;0
meet;"встретить или познакомиться";0
tuesday;вторник;0
entrance;вход;0
yesterday;вчера;0
you;ты;0
choose;выбирать;0
choice;выбор;0
elections;выборы;0
show;шоу;0
call;призыв;0
switch;"переключать, переключатель";0
do;заниматься;0
high;высокий;0
exit;"выход, выходить";0
knit;вязать;0
newspaper;газета;0
tie;"галстук, завязка и т.п";0
where;куда;0
verb;глагол;0
eye;глаз;0
stupid;глупый;0
say;говорить;0
beef;говядина;0
year;год;0
shin;голень;0
head;начальник;0
hungry;жаждущий;0
blue;синий;0
mountain;"гора, горный";0
city;город;0
peas;горох;0
bitter;горький;0
hot;жарко;0
guest;гость;0
border;"граница, край";0
grapefruit;грейпфрут;0
buckwheat;гречка;0
rough;"грубый, неровный, жёсткий";0
chest;грудь;0
sad;печальный;0
pear;груша;0
dirty;грязный;0
lips;губы;0
walk;ходить;0
goose;"гусь, гусыня";0
yes;да;0
give;дарить;0
even;ровный;0
far;далеко;0
two;два;0
twenty;двадцать;0
twelve;двенадцать;0
door;дверь;0
motion;движение;0
yard;двор;0
girl;девушка;0
nineteen;девятнадцать;0
nine;девять;0
grandfather;дедушка;0
really;действительно;0
december;декабрь;0
make;делать;0
case;"случай, дело";0
day;день;0
money;деньги;0
village;деревня;0
tree;дерево;0
hold;держать;0
ten;десять;0
children;дети;0
cheap;дешевый;0
jeans;джинсы;0
sofa;"софа, диван";0
length;длина;0
long;долгий;0
for;для;0
to;до;0
good;добро;0
confidence;уверенность;0
contract;сокращаться;0
rain;дождь;0
should;должен;0
home;домой;0
permit;разрешать;0
road;дорога;0
expensive;дорогой;0
board;"совет, коллегия";0
enough;достаточно;0
achieve;достигать;0
achievement;достижение;0
daughter;дочка;0
friend;знакомый;0
other;другой;0
oak;дуб;0
think;обдумывать;0
shower;душ;0
soul;душа;0
smoke;курить;0
melon;дыня;0
uncle;дядя;0
food;пищевой;0
blackberry;ежевика;0
spruce;ель;0
if;если;0
"there is";есть;0
go;поехать;0
complain;жаловаться;0
wait;ждать;0
wish;желать;0
yellow;желтый;0
stomach;"желудок, живот";0
wife;жена;0
woman;женщина;0
hard;усердный;0
animal;животное;0
life;жизнь;0
fat;"жир, жирный";0
giraffe;жираф;0
live;жить;0
journal;"журнал, ежедневник";0
journalist;журналист;0
behind;за;0
fence;"забор, огораживать";0
forget;забывать;0
tomorrow;завтра;0
breakfast;завтракать;0
task;"задание, задача";0
order;приказ;0
sunset;"закат солнца";0
close;близкий;0
hall;"зал, вестибюль";0
curtain;"занавеска, занавес";0
odor;запах;0
request;"запрос, запрашивать";0
wrist;запястье;0
shy;застенчивый;0
capture;захватить;0
why;почему;0
statement;заявление;0
hare;заяц;0
building;строительство;0
here;вот;0
health;здоровье;0
hi;привет;0
green;зелёный;0
land;"приземляться, высаживаться";0
mirror;зеркало;0
grain;"зерно, крупица";0
winter;зима;0
evil;"злой, зло";0
familiarity;знакомство;0
knowledge;знания;0
know;знать;0
tooth;зуб;0
game;игра;0
play;играть;0
"because of";из-за;0
avoid;избегать;0
excuse;"повод, предлог, оправдание";0
study;исследовать;0
or;или;0
have;должны;0
name;название;0
engineer;инженер;0
sometimes;иногда;0
search;"поиски, искать";0
art;искусство;0
research;"исследование, исследовать";0
vanish;исчезнуть;0
july;июль;0
june;июнь;0
yogurt;йогурт;0
squash;"раздавливать, расплющивать";0
cabinet;шкаф;0
how;как;0
what;что;0
calendar;календарь;0
calculator;калькулятор;0
stone;камень;0
hood;капюшон;0
cabbage;капуста;0
pencil;карандаш;0
picture;рисунок;0
potatoes;картофель;0
cash;"наличка, обналичить";0
pan;скоровода;0
cafe;кафе;0
porridge;каша;0
apartment;квартира;0
kiwi;киви;0
movie;кино;0
sour;кислый;0
brush;"кисть, щётка, чистить";0
keyboard;клавиатура;0
put;класть;0
client;клиент;0
strawberries;клубника;0
key;ключ;0
book;"купить, забронировать";0
carpet;ковер;0
when;когда;0
sausage;колбаса;0
pantyhose;колготки;0
knee;колено;0
wheel;колесо;0
number;количество;0
colleague;коллега;0
ring;"звонить, звонок";0
room;"место, пространство";0
computer;компьютер;0
certainly;конечно;0
sweet;сладкий;0
ship;доставлять;0
brown;коричневый;0
box;бокс;0
cow;корова;0
short;краткий;0
bone;кость;0
suit;"подходить, соответствовать";0
cat;кошка;0
coffee;кофе;0
blouse;блузка;0
purse;"кошелек, сумочка";0
edge;край;0
tap;кран;0
beautiful;прекрасный;0
red;рыжий;0
beauty;"красота или красавица";0
armchair;кресло;0
shout;кричать;0
bed;кровать;0
sneakers;"кеды, кроссовки";0
circle;"круг, окружность";0
mug;кружка;0
rat;крыса;0
roof;крыша;0
who;кто;0
corn;"кукуруза, зерно";0
buy;"верить, соглашаться";0
chicken;цыпленок;0
jacket;"куртка, пиджак";0
piece;"предмет, часть, кусок";0
kitchen;кухня;0
eat;кушать;0
palm;ладонь;0
lamp;лампа;0
lie;лежать;0
lazy;ленивый;0
forest;лес;0
ladder;лестница;0
fly;муха;0
summer;лето;0
treat;"обращаться, иметь дело";0
lemon;лимон;0
ruler;линейка;0
fox;лиса;0
list;"список, перечислять";0
face;лицо;0
forehead;лоб;0
ankle;"лодыжка, щиколотка";0
spoon;ложка;0
elbow;локоть;0
shovel;"лопата или совок";0
salmon;лосось;0
horse;конь;0
onion;"лук, луковица";0
moon;луна;0
better;лучше;0
love;любовь;0
any;любой;0
people;люди;0
chandelier;люстра;0
frog;лягушка;0
shop;магазин;0
may;пусть;0
t-shirt;футболка;0
pasta;паста;0
small;небольшой;0
raspberry;малина;0
few;мало;0
boy;мальчик;0
mama;мама;0
mango;манго;0
mandarin;мандарин;0
march;марш;0
route;маршрут;0
oil;масло;0
mother;мать;0
machine;машина;0
bear;рожать;0
between;между;0
manager;менеджер;0
place;место;0
month;месяц;0
metro;метро;0
sword;меч;0
dream;сон;0
darling;дорогой/ая;0
world;мир;0
many;многие;0
my;мой;0
milk;молоко;0
hammer;молоток;0
monitor;монитор;0
sea;море;0
carrots;морковь;0
moscow;москва;0
bridge;мост;0
"be able to";мочь;0
husband;муж;0
man;человек;0
music;музыка;0
musician;музыкант;0
flour;мука;0
trash;мусор;0
we;мы;0
soap;мыло;0
thought;мысль;0
mouse;мышь;0
soft;мягкий;0
meat;мясо;0
ball;шар;0
at;на;0
hope;надеяться;0
reliability;надежность;0
back;обратный;0
punishment;наказание;0
left;левый;0
intend;намереваться;0
remind;напомнить;0
right;верный;0
enjoy;наслаждаться;0
pump;"насос, нагнетать";0
science;наука;0
headphones;наушники;0
find;находить;0
begin;начинаться;0
sky;небо;0
unbelievable;невероятный;0
week;неделя;0
tenderness;нежность;0
some;немного;0
hate;ненавидеть;0
necessity;необходимость;0
wrong;"не тот";0
several;несколько;0
unhappy;несчастный;0
no;нет;0
clumsy;"неловкий, неуклюжий";0
never;"так и не";0
nothing;ничего;0
but;но;0
new;новый;0
leg;нога;0
nail;ноготь;0
knife;нож;0
scissors;ножницы;0
nose;нос;0
wear;"надевать, носить";0
sock;носок;0
notebook;"ноутбук, блокнот";0
night;ночь;0
november;ноябрь;0
lunch;ланч;0
monkey;обезьяна;0
provide;"обеспечивать, снабжать";0
cloud;облако;0
deception;обман;0
deceive;обманывать;0
circumstance;обстоятельство;0
shoes;обувь;0
explain;объяснять;0
usually;обычно;0
obligation;обязательство;0
vegetables;овощи;0
fire;увольнять;0
huge;огромный;0
cucumber;огурец;0
dress;одеваться;0
clothing;одежда;0
blanket;"одеяло, покрывало";0
one;один;0
eleven;одиннадцать;0
however;однако;0
expect;ожидать;0
lake;озеро;0
window;окно;0
near;рядом;0
october;октябрь;0
he;он;0
she;она;0
they;они;0
it;это;0
danger;опасность;0
describe;описать;0
certain;"определённый, уверенный";0
experience;опыт;0
autumn;осень;0
especially;особенно;0
feature;"черта, особенность";0
remain;оставаться;0
"to leave";оставить;0
leave;"уйти, покинуть";0
stop;стоп;0
island;остров;0
acute;острый;0
cool;"прохладный, свежий";0
exercise;"упражнение, тренироваться";0
answer;отвечать;0
responsibility;ответственность;0
responsible;ответственный;0
separate;"отдельный, отделять";0
recreation;"отдых и развлечения";0
rest;покоиться;0
father;отец;0
delay;задерживать;0
open;открыть;0
excellent;превосходный;0
ratio;"соотношение, пропорции";0
vacation;"отпуск, каникулы";0
deny;отрицать;0
office;офис;0
waiter;официант;0
assessment;оценка;0
charm;"обаяние, очаровывать";0
obviously;очевидно;0
very;очень;0
glasses;очки;0
error;ошибка;0
fall;осень;0
package;пакет;0
finger;палец;0
stick;приклеить;0
coat;покрывать;0
memory;память;0
dad;папа;0
folder;папка;0
pair;пара;0
guy;парень;0
passport;паспорт;0
ashtray;пепельница;0
first;первый;0
negotiations;переговоры;0
pepper;перец;0
peach;персик;0
song;песня;0
sand;песок;0
parsley;петрушка;0
sing;петь;0
cookies;печенье;0
furnace;печь;0
beer;пиво;0
pie;пирог;0
write;писать;0
drink;пить;0
swim;плавать;0
cry;плакать;0
pay;выплачивать;0
nephew;племянник;0
niece;племянница;0
shoulder;плечо;0
plate;"плита, пластина";0
poorly;плохо;0
bad;плохой;0
area;"область, участок";0
beach;пляж;0
behavior;поведение;0
surface;поверхность;0
turn;"очередь, смена";0
increase;"увеличивать, увеличение";0
weather;погода;0
under;под;0
gift;подарок;0
chin;подбородок;0
support;поддерживать;0
lift;поднимать;0
sill;"подоконник, порог";0
pillow;подушка;0
approach;"приближаться, подходить";0
appropriate;присвоить;0
train;тренировать;0
trip;поездка;0
please;радовать;0
while;пока;0
cover;"накрывать, покрывать";0
floor;этаж;0
field;"поле, область";0
useful;полезный;0
shelf;"полка, уступ";0
towel;полотенце;0
receive;получить;0
benefit;"польза, создавать пользу";0
tomato;томат;0
remember;вспоминать;0
help;помогать;0
monday;понедельник;0
understand;понять;0
encourage;"поддерживать, поощрять";0
attempt;"попытка, пытаться";0
threshold;порог;0
visit;"посетить, посещение";0
after;после;0
ceiling;"потолок, перекрытие";0
then;тогда;0
consumption;расход;0
mail;почта;0
nearly;почти;0
so;так;0
emerge;появляться;0
holiday;праздник;0
offer;"предлагать, предложение";0
sentence;приговор;0
forearm;предплечье;0
company;компания;0
represent;представлять;0
advantage;преимущество;0
about;примерно;0
profit;"польза, извлекать пользу";0
attractive;привлекательный;0
habit;"привычка, обычай";0
invitation;приглашение;0
confess;признаваться;0
bring;принести;0
printer;принтер;0
acquire;обретать;0
acquisition;приобретение;0
come;приходить;0
reason;"разум, благоразумие";0
nice;красиво;0
check;проверить;0
wire;"проволока, провод";0
conduct;"вести, поведение";0
promotion;продвижение;0
just;"справедливый, беспристрастный";0
simple;"простой, обычный";0
sheet;лист;0
"wake up";"просыпаться, будить";0
nasty;противный;0
forgive;простить;0
jump;прыжок;0
straight;"прямой, прямо";0
bird;птица;0
panel;пульт;0
travel;путешествовать;0
path;путь;0
heel;"каблук, пятка";0
fifteen;пятнадцать;0
friday;пятница;0
five;пять;0
fifty;пятьдесят;0
work;работать;0
joy;радость;0
development;разработка;0
talk;разговаривать;0
conversation;разговор;0
permission;разрешение;0
destroy;разрушать;0
sink;"тонуть, топить";0
early;"рано, ранний";0
dawn;рассвет;0
consider;"считать чем-либо";0
comb;"расческа, причёсывать";0
child;ребенок;0
rarely;редко;0
cut;вырезать;0
river;река;0
advertising;реклама;0
belt;пояс;0
restaurant;ресторан;0
decide;решить;0
crucial;"решающий, критический";0
solution;раствор;0
solve;решить;0
rice;рис;0
draw;тянуть;0
parent;родитель;0
rose;роза;0
socket;"разъем, розетка";0
pink;розовый;0
mouth;рот;0
shirt;рубашка;0
hand;рука;0
"steering wheel";руль;0
handle;"управляться, обращаться";0
fish;рыба;0
market;рынок;0
backpack;рюкзак;0
salad;салат;0
napkin;салфетка;0
plane;самолёт;0
boot;"сапог, ботинок";0
sugar;сахар;0
beet;свекла;0
light;зажигать;0
pork;свинина;0
pig;свинья;0
sweater;свитер;0
link;"связь, звено, ссылка";0
bargain;"сделка, торговаться";0
today;сегодня;0
now;теперь;0
celery;сельдерей;0
seventeen;семнадцать;0
seven;семь;0
family;семья;0
september;сентябрь;0
angry;злой;0
heart;сердце;0
gray;серый;0
sister;сестра;0
sit;сидеть;0
force;вынуждать;0
strong;сильный;0
tablecloth;скатерть;0
discount;скидка;0
"frying pan";сковорода;0
"how many";сколько;0
rather;"скорее, предпочтительнее";0
soon;"скоро или рано";0
speed;скорость;0
weak;слабый;0
consequence;последствие;0
plum;слива;0
cream;"крем, сливки";0
dictionary;словарь;0
word;слово;0
complex;сложный;0
elephant;слон;0
listen;слушать;0
hear;слышать;0
death;смерть;0
laugh;смеяться;0
watch;часы;0
meaning;значение;0
snow;снег;0
reduction;сокращение;0
again;снова;0
dog;собака;0
own;владеть;0
improve;улучшить;0
advice;совет;0
willing;согласный;0
agree;соглашаться;0
agreement;"соглашение, договор";0
regret;"сожалеть, сожаление";0
juice;сок;0
sun;солнце;0
salt;соль;0
sleep;спать;0
match;"соответствие, нечто соответствующее";0
rival;"соперничающий, враждебный";0
neighbor;сосед;0
sauce;соус;0
bedroom;спальня;0
asparagus;спаржа;0
"thank you";спасибо;0
calm;"спокойный, успокоить";0
argue;"спорить, доказывать";0
ability;умение;0
ask;спрашивать;0
demand;спрос;0
wednesday;среда;0
among;среди;0
means;средство;0
glass;"стекло или стакан";0
get;становиться;0
old;старый;0
trunk;"чемодан, сундук";0
wall;стена;0
value;"ценность, оценивать";0
table;таблица;0
column;"столб, колонна";0
stand;"терпеть, выносить";0
country;страна;0
page;страница;0
strange;странный;0
passion;страсть;0
build;строить;0
student;студент;0
chair;стул;0
foot;фут;0
saturday;суббота;0
bag;"сумка, мешок";0
soup;суп;0
severe;"серьёзный, суровый, жёсткий";0
happily;счастливо;0
happy;счастливый;0
happiness;счастье;0
account;счёт;0
assume;"принимать на себя";0
son;сын;0
cheese;творог;0
also;также;0
taxi;такси;0
there;там;0
customs;таможня;0
your;ваш;0
tv;телевизор;0
phone;телефон;0
body;тело;0
veal;телятина;0
warm;теплый;0
test;"тест, тестировать";0
quiet;"тихий, спокойный, тишина";0
product;продукт;0
thick;густой;0
only;единственный;0
thin;"тонкий, худой";0
